recordtype,record,trial_date,firstname,middlename,lastname,suffix,ct_require,bw_sent,nrvc_sent,offense,cdr,long_desc,short_desc,balance,dateofvi,dob,veh_lic_no,part_pay
"A","TEST123",12/16/2015,"JOHN","","DOE","",F,F,F,"14-25-0045","1145","CONTEMPT / CONTEMPT OF MUNICIPAL COURT","CONTEMPT",25.00,12/16/2015,01/01/1981,"",F
"T","00002ZZ",01/14/2015,"PAULA","DIANE","RHODES","",F,F,F,"56-01-0460(A)(1)(A)","0624","DUS / DRIVING UNDER SUSPENSION LICENSE NOT SUSPENDED FOR DUI - 1ST OFFENSE","DUS 1ST",500.00,01/14/2015,11/16/1959,"",F
"T","12345CD",05/29/2017,"SOMEBODY","FROM","CANADA","",F,F,F,"56-05-1520(G)(1)","2100","TRAFFIC / SPEEDING 10 MPH OR LESS OVER THE SPEED LIMIT","SPEEDING OR TOO FAST FOR CONDITIONS (<= 10MPH)",76.88,05/29/2017,/  /,"ABC123",F
"T","123ZGFDE6T45",12/07/2016,"TEST","","PERSON","",F,F,F,"44-53-0370(E)(4)(C)","0291","DRUGS / TRAFFICKING IN METHAQUALONE POSSESSION OF 1500 G BUT LESS THAN 15 KG","DRUGS",77.00,12/07/2016,01/01/1980,"DRU118",T
"T","20151239999999",12/16/2015,"FRANK","JOE","PEZZDISPENSER","",F,F,F,"56-05-1520(G)(1)","2100","TRAFFIC / SPEEDING 10 MPH OR LESS OVER THE SPEED LIMIT","SPEEDING",81.88,12/16/2015,01/24/1980,"1443DY",F
"T","20161230000009",07/15/2016,"FRANK","JOE","PEZZDISPENSER","",F,F,F,"56-05-1520(G)(1)","2100","TRAFFIC / SPEEDING 10 MPH OR LESS OVER THE SPEED LIMIT","SPEEDING OR TOO FAST FOR CONDITIONS (<= 10MPH)",76.88,03/15/2016,01/24/1980,"1443DY",F
"T","20161230000012",11/07/2016,"BRIAN","LEE","LOVEN","",F,F,F,"56-05-1520(G)(1)","2100","TRAFFIC / SPEEDING 10 MPH OR LESS OVER THE SPEED LIMIT","SPEEDING OR TOO FAST FOR CONDITIONS (<= 10MPH)",76.50,11/07/2016,05/27/1962,"DRU118",F
"T","20161235858585",11/18/2016,"FRANK","JOE","PEZZDISPENSER","",F,T,F,"56-05-1520(G)(1)","2100","TRAFFIC / SPEEDING 10 MPH OR LESS OVER THE SPEED LIMIT","SPEEDING OR TOO FAST FOR COND (>10 AND <15 MPH)",76.88,11/18/2016,01/24/1980,"1443DY",F
"T","2016P1234567",12/21/2016,"FRANK","JOE","PEZZDISPENSER","",F,F,F,"04-11-0060","1044","PUBLIC / FAILURE TO KEEP REQUIRED RECORDS BY COUNTY OFFICERS","WHATEVER",100.00,12/21/2016,01/24/1980,"1443DY",F
"T","20170910000011",10/09/2017,"CHRISTOPHER","JARED","BRACEY","",F,F,F,"56-05-1520(G)(1)","2100","TRAFFIC / SPEEDING 10 MPH OR LESS OVER THE SPEED LIMIT","OPERATING UNINSURED VEHICLE",50.00,10/04/2017,12/16/1994,"",F
